Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft),Cycle4 (Bef),Cycle4 (Aft),Cycle5 (Bef),Cycle5 (Aft),Cycle6 (Bef),Cycle6 (Aft),Cycle7 (Bef),Cycle7 (Aft),Cycle8 (Bef),Cycle8 (Aft),Cycle9 (Bef),Cycle9 (Aft),Cycle10 (Bef),Cycle10 (Aft),Cycle11 (Bef),Cycle11 (Aft)
155,-13,-13,-14,-14,-14,-14,-5,-5,-1,-1,-6,-6,-6,-6,-6,-6,-5,-3,-6,-6,-13,-13,-13,-13
156,-23,-23,-23,-23,-23,-23,-20,-20,-9,-6,-1,-1,-4,-4,-7,-7,-8,-8,-11,-11,-21,-21,-22,-22
157,-24,-24,-23,-23,-23,-23,-21,-21,-21,-21,-27,-27,-22,-22,-15,-15,-20,-18,-11,-11,-15,-15,-16,-16
158,-12,-12,-11,-11,-10,-10,-7,-7,3,3,-6,-6,-5,-5,-4,-4,2,-2,-1,-1,-6,-6,-9,-9
159,-27,-27,-27,-27,-27,-27,-26,-26,-27,-27,-63,-63,-76,-76,-72,-72,-48,-48,-29,-29,-39,-39,-41,-41
160,-14,-14,-14,-14,-14,-14,-13,-13,-17,-17,-35,-35,-26,-26,-30,-30,-23,-23,-18,-18,-23,-23,-20,-20
161,-11,-11,-12,-12,-12,-12,-9,-8,-5,-1,-3,-3,-2,0,-4,-1,1,1,3,3,3,3,1,1
162,-13,-13,-15,-15,-16,-16,-15,-15,-22,-22,-31,-31,-38,-38,-38,-38,-27,-27,-21,-21,-30,-30,-31,-31
163,-17,-17,-17,-17,-16,-16,-14,-14,-12,-12,-22,-22,-22,-22,-19,-19,-13,-13,-9,-9,-15,-15,-13,-13
164,-11,-11,-11,-11,-11,-11,-8,-9,3,0,-9,-9,-8,-6,-6,-2,0,-1,-3,-3,-12,-12,-17,-17
165,-10,-10,-10,-10,-10,-10,-8,-8,-6,-6,-5,-3,-3,-3,1,-1,1,2,0,0,-6,-6,-7,-7
166,-17,-17,-18,-18,-18,-18,-16,-16,-18,-18,-29,-29,-27,-26,-25,-14,-10,-10,-5,-5,-3,-3,-2,-2
167,-13,-13,-13,-13,-13,-13,-3,-11,2,2,-13,-13,-10,-10,-9,-11,-1,-1,-7,-7,-21,-21,-24,-24
168,-13,-13,-12,-12,-12,-12,-11,-11,-6,-6,-6,-6,-4,-4,-6,-6,-9,-9,-1,-1,-3,-3,-4,-4
169,-11,-11,-12,-12,-12,-12,-7,-9,4,4,3,0,-1,-1,-5,-5,-3,-4,8,8,3,3,-4,-4
170,-21,-21,-21,-21,-21,-21,-17,-17,-11,-11,-14,-14,-15,-15,-19,-19,-17,-2,2,2,2,2,-2,-2
171,-9,-9,-9,-9,-9,-9,-7,-7,2,2,-2,-2,-2,-2,-4,-4,-3,0,-3,-3,-10,-10,-9,-9
172,-13,-13,-13,-13,-13,-13,-13,-13,-14,-14,-24,-24,-26,-26,-25,-25,-19,-19,-14,-14,-12,-12,-10,-10
173,-9,-9,-10,-10,-9,-8,0,-7,8,4,-2,2,2,1,1,0,-3,-3,-10,-10,-11,-11,-13,-13
174,-24,-24,-25,-25,-25,-25,-25,-25,-26,-4,-38,-38,-35,-35,-32,-32,-31,-31,-15,-15,-8,-8,-1,0
175,-18,-18,-18,-18,-18,-18,-16,-16,-29,-29,-53,-53,-56,-56,-57,-57,-38,-38,-31,-31,-43,-43,-44,-44
176,-16,-16,-16,-16,-16,-16,-13,-13,-3,-1,2,0,-2,-2,-2,-1,-2,2,2,2,-8,-8,-8,-8
177,-16,-16,-17,-17,-17,-17,-10,-16,4,4,-23,-23,-23,-23,-27,-27,-13,-13,-21,-21,-23,-23,-28,-28
178,-13,-13,-14,-14,-14,-14,-6,-8,1,1,-1,1,1,1,-1,0,1,2,2,2,-7,-7,-7,-7
180,-11,-11,-11,-11,-11,-11,-10,-10,-14,-14,-25,-25,-23,-23,-22,-22,-19,-19,-8,-8,-10,-10,-9,-9
181,-14,-14,-14,-14,-14,-14,-13,-13,-14,-14,-18,-18,-22,-22,-21,-21,-17,-17,-14,-14,-18,-18,-18,-18
182,-12,-12,-12,-12,-12,-12,-7,-11,0,5,-2,0,1,1,2,-1,2,1,-2,-2,-20,-20,-21,-21
183,-16,-16,-16,-16,-15,-15,-9,-9,-5,-5,0,0,-2,-2,0,-3,1,-1,-2,-2,-16,-16,-22,-22
184,-23,-23,-23,-23,-23,-23,-22,-22,-17,-17,-30,-30,-34,-34,-39,-39,-29,-29,-18,-18,-20,-20,-21,-21
185,-9,-9,-9,-9,-8,-8,-1,-7,2,2,2,0,2,2,2,-2,5,3,-2,-2,-13,-13,-23,-23
186,-11,-11,-11,-11,-11,-9,1,-10,7,7,2,1,-2,0,-2,-10,2,8,-6,-6,-17,-17,-21,-21
