Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
412,-11,-11,-11,-11,-11,-11,-8,-8
419,-10,-10,-10,-10,-10,-10,-8,-8
420,-24,-24,-25,-25,-26,-26,-25,-4
421,-30,-30,-31,-31,-30,-30,-25,-5
423,-20,-20,-21,-21,-21,-21,-20,-20
424,-20,-20,-21,-21,-21,-21,-18,-18
425,-26,-26,-26,-26,-26,-26,-24,-24
426,-11,-11,-11,-11,-9,-9,-7,-7
427,-29,-29,-30,-30,-30,-30,-30,-30
428,-13,-13,-12,-12,-13,-13,-10,-10
430,-11,-11,-12,-12,-12,-12,-12,-12
431,-14,-14,-14,-14,-14,-14,-13,-1
432,-14,-14,-15,-15,-15,-15,-15,-15
433,-23,-23,-24,-24,-25,-25,-19,-19
435,-16,-16,-16,-16,-17,-17,-13,-13
436,-25,-25,-25,-25,-25,-25,-24,-24
437,-17,-17,-18,-18,-18,-18,-17,-17
439,-15,-15,-15,-15,-15,-15,-14,-2
440,-22,-22,-24,-24,-24,-24,-21,-21
441,-16,-16,-14,-14,-14,-14,-13,-13
442,-16,-16,-16,-16,-16,-16,-14,-14
443,-20,-20,-20,-20,-21,-21,-18,-18
444,-15,-15,-15,-15,-15,-15,-13,-13
445,-18,-18,-18,-18,-18,-18,-14,-14
446,-16,-16,-17,-17,-15,-15,-13,-13
447,-37,-37,-37,-37,-37,-37,-36,-36
448,-25,-25,-23,-23,-24,-24,-24,-24
449,-23,-23,-23,-23,-22,-22,-19,-19
450,-18,-18,-19,-19,-20,-20,-16,-16
451,-11,-11,-11,-11,-11,-11,-11,-11
452,-16,-16,-16,-16,-17,-17,-15,-13
453,-16,-16,-17,-17,-16,-16,-13,-12
454,-14,-14,-14,-14,-13,-13,-10,-10
455,-11,-11,-11,-11,-11,-11,-11,-11
456,-23,-23,-26,-26,-26,-26,-24,-24
457,-19,-19,-19,-19,-19,-19,-15,-15
458,-18,-18,-17,-17,-17,-17,-14,-12
